Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Cluster
PAW Patrol: The Movie,ryder and the pups are called to adventure city to stop mayor humdinger from turning the bustling metropolis into a state of chaos.,339.374,855,7.5,en,animation,-1
Avengers: Infinity War,"as the avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: thanos. a despot of intergalactic infamy, his goal is to collect all six infinity stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. everything the avengers have fought for has led up to this moment - the fate of earth and existence itself has never been more uncertain.",338.402,24079,8.3,en,adventure,-1
Batman,"batman must face his most ruthless nemesis when a deformed madman calling himself ""the joker"" seizes control of gotham's criminal underworld.",338.272,6109,7.2,en,fantasy,-1
Black Widow,"natasha romanoff, also known as black widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. pursued by a force that will stop at nothing to bring her down, natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an avenger.",337.651,7127,7.5,en,action,-1
The Wonderful Winter of Mickey Mouse,the wonder of the winter season takes mickey mouse and his friends on a journey through three magical stories.,333.354,3,5.7,en,animation,-1
F9,dominic toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,331.944,5092,7.3,en,action,-1
Moonfall,a mysterious force knocks the moon from its orbit around earth and sends it hurtling on a collision course with life as we know it.,328.678,186,5.9,en,action,-1
"Sex, Shame and Tears 2","twenty years have passed since those two apartments in the heart of mexico city were the battlefield of a war of the sexes between ana, carlos, andrea, miguel, tomás and maría. all that is left of those apartments are memories and the image of tomás' dead body at the bottom of the elevator shaft. their lives have changed, their families have grown and new and unexpected characters have come to unsettle their daily lives and trigger a chain of events that will make them realize that modesty has been replaced by public disclosure; sex is only an app away; but love...love is still something elusive that everyone in today's banal and chaotic world is seeking.",325.624,5,2.2,es,comedy,-1
Diary of a Wimpy Kid,greg heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous – he just has to survive middle school first.,324.706,189,6.5,en,animation,-1
AI Love You,"a modern love story set in the near future where an ai building is powered by human feelings. due to a software glitch, it falls in love with a real girl, escapes the building into the body of a real man, and tries to win her affections.",317.643,16,5.3,th,comedy,-1
Sonic the Hedgehog 2,"after settling in green hills, sonic is eager to prove he has what it takes to be a true hero. his test comes when dr. robotnik returns, this time with a new partner, knuckles, in search for an emerald that has the power to destroy civilizations. sonic teams up with his own sidekick, tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",317.159,0,0.0,en,action,-1
Erax,monstrous creatures leap from a magical storybook and unleash mayhem and mischief for auntie opal and her tween niece nina in this spooky short film.,317.102,12,5.7,en,mystery,-1
Deathstroke: Knights & Dragons - The Movie,the assassin deathstroke tries to save his family from the wrath of h.i.v.e. and the murderous jackal.,314.388,325,6.9,en,animation,-1
The Last Duel,"king charles vi declares that knight jean de carrouges settle his dispute with his squire, jacques le gris, by challenging him to a duel.",312.916,1848,7.6,en,action,-1
The Pirates: The Last Royal Treasure,"a gutsy crew of joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea.",311.94,38,6.6,ko,action,-1
Paranormal Activity: Next of Kin,"margot, a documentary filmmaker, heads to a secluded amish community in the hopes of learning about her long-lost mother and extended family. following a string of strange occurrences and discoveries, she comes to realize this community may not be what it seems.",310.011,300,6.5,en,horror,-1
House of Gucci,"when patrizia reggiani, an outsider from humble beginnings, marries into the gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately…murder.",308.214,1276,6.8,en,drama,-1
Dark Spell,terror strikes when a heartbroken woman uses black magic to get her husband back.,308.037,80,6.7,ru,romance,-1
Jungle Cruise,"dr. lily houghton enlists the aid of wisecracking skipper frank wolff to take her down the amazon in his dilapidated boat. together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",307.936,4034,7.6,en,action,-1
Godzilla vs. Kong,"in a time when monsters walk the earth, humanity’s fight for its future sets godzilla and kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",307.521,7681,7.8,en,action,-1
The Amazing Spider-Man,"peter parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his uncle ben and aunt may. like most teenagers, peter is trying to figure out who he is and how he got to be the person he is today. as peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to oscorp and the lab of dr. curt connors, his father's former partner. as spider-man is set on a collision course with connors' alter ego, the lizard, peter will make life-altering choices to use his powers and shape his destiny to become a hero.",306.376,14564,6.7,en,action,-1
Heart Shot,teenagers nikki and sam are in love and planning their future together — until nikki's dangerous past returns to threaten everything.,302.272,16,5.6,en,romance,-1
Avatar,"in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",297.357,25011,7.5,en,action,-1
Mobile Suit Gundam Hathaway,"after char's rebellion, hathaway noa leads an insurgency against earth federation, but meeting an enemy officer and a mysterious woman alters his fate.",292.604,77,7.8,ja,animation,-1
Army of Thieves,a mysterious woman recruits bank teller ludwig dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,290.54,1167,6.9,en,crime,-1
UFO,"when aspiring musician and student deniz falls for a rough-hewn motorbike racer, tragedy and family opposition obstruct their path to love.",290.481,15,5.2,tr,drama,-1
The Weekend Away,"when her best friend vanishes during a girls' trip to croatia, beth races to figure out what happened. but each clue yields another unsettling deception.",290.206,119,5.9,en,thriller,-1
